Method,Selected Variables,R-squared,Noise Sigma Est
SLOPE,41,0.5761032839887046,52.702873747153916
Lasso-Bonf,37,0.574842555481222,53.11483931783624
Lasso-CV,14,0.5300587257688779,
Stepwise-BIC,7,0.5340230045034111,
Marginal-BH,14,0.5183188939506467,
Full-model-BH,3,0.39979803261202485,53.11483931783624
